include,xmltv_id,raw_name,provider,confidence,score,matched_db_name,grab_site,grab_site_id
yes,DDSaptagiri.in@SD,DD Saptagiri,meowfy,auto,100.0,DD Saptagiri,dishtv.in,142804
yes,DDSports.in@SD,DD Sports,meowfy,auto,100.0,DD Sports,dishtv.in,158255
yes,DDSports.in@SD,DD SPORTS [IN],sktech,auto,100.0,DD Sports,dishtv.in,158255
review,DDSports.in@SD,A SPORTS HD [SP],sktech,review,82.4,DD Sports,dishtv.in,158255
yes,DDSports.in@SD,D SPORTS HD [SP],sktech,auto,94.1,DD Sports,dishtv.in,158255
yes,DDSports.in@SD,DD SPORTS [SP],sktech,auto,100.0,DD Sports,dishtv.in,158255
yes,DDSwayamPrabha24.in@jiotv,DD Swayam Prabha 24,meowfy,auto,100.0,DD Swayam Prabha 24,jiotv.com,3119
yes,DDSwayamPrabha30.in@jiotv,DD Swayam Prabha 30,meowfy,auto,100.0,DD Swayam Prabha 30,jiotv.com,3125
yes,DDSwayamPrabha31.in@jiotv,DD Swayam Prabha 31,meowfy,auto,100.0,DD Swayam Prabha 31,jiotv.com,3126
yes,DDSwayamPrabha33.in@jiotv,DD Swayam Prabha 33,meowfy,auto,100.0,DD Swayam Prabha 33,jiotv.com,3128
yes,DDSwayamPrabha34.in@jiotv,DD Swayam Prabha 34,meowfy,auto,100.0,DD Swayam Prabha 34,jiotv.com,3129
yes,DDSwayamPrabha35.in@jiotv,DD Swayam Prabha 35,meowfy,auto,100.0,DD Swayam Prabha 35,jiotv.com,3130
yes,DDSwayamPrabha36.in@jiotv,DD Swayam Prabha 36,meowfy,auto,100.0,DD Swayam Prabha 36,jiotv.com,3131
yes,DDSwayamPrabha37.in@jiotv,DD Swayam Prabha 37,meowfy,auto,100.0,DD Swayam Prabha 37,jiotv.com,3132
yes,DDSwayamPrabha38.in@jiotv,DD Swayam Prabha 38,meowfy,auto,100.0,DD Swayam Prabha 38,jiotv.com,3133
yes,DDSwayamPrabha39.in@jiotv,DD Swayam Prabha 39,meowfy,auto,100.0,DD Swayam Prabha 39,jiotv.com,3134
yes,DDSwayamPrabha40.in@jiotv,DD Swayam Prabha 40,meowfy,auto,100.0,DD Swayam Prabha 40,jiotv.com,3135
yes,DDUrdu.in@SD,DD urdu,meowfy,auto,100.0,DD Urdu,dishtv.in,142808
yes,DDUrdu.in@SD,DD URDU [IN],sktech,auto,100.0,DD Urdu,dishtv.in,142808
yes,DDUttarPradesh.in@SD,DD Uttar Pradesh,meowfy,auto,100.0,DD Uttar Pradesh,dishtv.in,142807
review,DDUttarPradesh.in@SD,DD MP [IN],sktech,review,80.0,DD Uttar Pradesh,dishtv.in,142807
yes,DDUttarPradesh.in@SD,DD UP [IN],sktech,auto,100.0,DD Uttar Pradesh,dishtv.in,142807
yes,DDYadagiri.in@SD,DD Yadagiri,meowfy,auto,100.0,DD Yadagiri,dishtv.in,142810
yes,DNN.in@jiotv,DNN,meowfy,auto,100.0,DNN,jiotv.com,958
review,DTamil.in@SD,Discovery Tamil,meowfy,review,80.0,DTamil,dishtv.in,143012
yes,DTamil.in@SD,D Tamil,meowfy,auto,100.0,DTamil,dishtv.in,143012
yes,DW.de@English,dw,meowfy,auto,100.0,DW,tataplay.com,60
yes,DY365.in@SD,DY 365,meowfy,auto,100.0,DY 365,dishtv.in,143015
yes,Dabangg.in@jiotv,DABANGG [IN],sktech,auto,100.0,Dabangg,jiotv.com,532
